,Year,Month,First Day of Weekend,Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date
314,2016,02,19,3,How To Be Single,USA,1876539,Warner Bros,-,1,432,4343.840277777777,1876539
315,2016,02,19,4,Goosebumps,USA/ Aus,1311006,Sony Pictures,0.22277883846801722,3,516,2540.7093023255816,7557320
316,2016,02,19,5,Dad's Army,UK,822888,Universal,-0.36897463208821146,3,462,1781.142857142857,6887353
317,2016,02,19,6,Triple 9,USA,812619,eOne Films,-,1,448,1813.8816964285713,812619
318,2016,02,19,7,Zoolander 2,USA,770464,Paramount,-0.6314689077720406,2,479,1608.4843423799582,4011145
319,2016,02,19,8,The Revenant,USA,689263,20th Century Fox,-0.041951782276616,6,406,1697.692118226601,21045519
320,2016,02,19,9,Star Wars: The Force Awakens,UK/USA,367105,Disney,-0.17382145694410378,10,294,1248.656462585034,122326526
321,2016,02,19,10,Spotlight,USA,326776,eOne Films,-0.27592609826679254,4,311,1050.7266881028938,4380464
322,2016,02,19,11,The Finest Hours,USA,247643,Disney,-,1,424,584.063679245283,247643
323,2016,02,19,12,The Big Short,USA,238170,Paramount,-0.3014333858350859,5,142,1677.2535211267607,5207206
324,2016,02,19,13,Dirty Grandpa,USA,227154,Lionsgate,-0.5984550114901891,4,261,870.3218390804598,5188050
325,2016,02,19,14,A Bigger Splash,Ita/Fra,197651,StudioCanal,-0.4315178812823212,2,90,2196.1222222222223,748428
326,2016,02,19,15,The Good Dinosaur,USA,140083,Disney,-0.09869259178237315,13,272,515.0110294117648,14810130
327,2016,02,19,23,Pride and Prejudice and Zombies,UK/USA,71248,Lionsgate,-0.8006736719598035,2,192,371.0833333333333,662976
328,2016,02,19,24,Snoopy And Charlie Brown: The Peanuts Movie,UK,53246,20th Century Fox,0.6196994585386628,9,157,339.14649681528664,9882242
329,2016,02,19,32,Youth,UK/Fra/Sui/Ita,29875,StudioCanal,-0.5300234398351346,4,36,829.8611111111111,793816
330,2016,02,19,35,The Danish Girl,UK/Ger,26078,Universal,-0.1976323415881942,8,40,651.95,7248524.429017836
331,2016,02,19,38,Brooklyn,UK/Ire/Can,22945,Lionsgate,0.30822737898397856,16,46,498.80434782608694,5645729
332,2016,02,19,50,The Lady in the Van,UK,6160,Sony Pictures,0.5138854755468175,15,8,770,13024966
333,2016,02,19,51,Steve Jobs,UK/USA,5786,Universal,3.0097020097020097,15,3,1928.6666666666667,2362548
334,2016,02,19,53,Branagh Theatre Live: The Winter’s Tale 2015 (Theatre),UK,5172,Picture House Entertainment,-0.15171395768471216,14,4,1293,1904548.6895305123
335,2016,02,19,56,Les Liaisons Dangereuses - NT Live 2016 (Theatre),UK,3928,National Theatre/ Picture House Entertainment,-0.34060768843329386,5,3,1309.3333333333333,676418.5999393904
336,2016,02,19,64,Carol,UK/USA,1954,StudioCanal,-0.636532738095238,13,3,651.3333333333334,2700728
337,2016,02,19,69,Innocence of Memories,UK,1117,Soda,0.017304189435336976,4,3,372.3333333333333,22918
338,2016,02,19,72,The Survivalist,UK,988,Bulldog Film Distribution,-0.893740589374059,2,4,247,19346
339,2016,02,19,77,Pan,UK/USA/Aus,719,Warner Bros,-0.9445558297347316,19,3,239.66666666666666,9222668
340,2016,02,19,78,The Lobster,UK/Fra/Gre/Ned/Ire,704,Element Pictures,-0.562461155997514,19,1,704,1518570
341,2016,02,19,80,SPECTRE,UK/USA,683,Sony Pictures,-0.42167654530059273,17,9,75.88888888888889,95178697
342,2016,02,19,81,Orthodox,UK,653,Independent,-,1,3,217.66666666666666,653
343,2016,02,19,82,Peggy Guggenheim: Art Addict,UK/USA/Ita,648,Dogwoof,4.785714285714286,11,1,648,94704
